Date,Open,High,Low,Close,Adj Close,Volume
2016-07-27,216500.000000,217500.000000,214500.000000,215500.000000,215500.000000,22636
2016-07-28,215500.000000,216000.000000,208000.000000,210000.000000,210000.000000,42759
2016-07-29,209500.000000,209500.000000,198500.000000,200500.000000,200500.000000,89591
2016-08-01,201000.000000,203500.000000,199000.000000,202500.000000,202500.000000,55696
2016-08-02,201500.000000,214000.000000,201500.000000,212500.000000,212500.000000,74667
2016-08-03,210500.000000,213000.000000,210500.000000,212500.000000,212500.000000,30059
2016-08-04,214000.000000,216500.000000,209000.000000,214000.000000,214000.000000,41120
2016-08-05,213000.000000,219500.000000,209500.000000,212000.000000,212000.000000,43904
2016-08-08,213500.000000,216500.000000,212000.000000,215500.000000,215500.000000,31020
2016-08-09,217000.000000,217500.000000,214000.000000,217500.000000,217500.000000,22730
2016-08-10,216000.000000,220500.000000,215500.000000,220000.000000,220000.000000,36034
2016-08-11,219000.000000,219000.000000,213500.000000,217000.000000,217000.000000,31981
2016-08-12,217000.000000,219500.000000,214500.000000,217000.000000,217000.000000,23831
2016-08-16,218500.000000,218500.000000,210500.000000,210500.000000,210500.000000,35223
2016-08-17,211000.000000,213000.000000,206000.000000,212500.000000,212500.000000,38397
2016-08-18,212000.000000,212500.000000,206000.000000,207000.000000,207000.000000,26943
2016-08-19,207000.000000,207000.000000,202500.000000,203000.000000,203000.000000,40196
2016-08-22,201000.000000,203500.000000,199000.000000,202500.000000,202500.000000,31588
2016-08-23,202000.000000,210000.000000,201000.000000,209000.000000,209000.000000,48419
2016-08-24,208000.000000,209500.000000,205500.000000,209500.000000,209500.000000,28534
2016-08-25,210000.000000,212500.000000,206000.000000,207500.000000,207500.000000,30803
2016-08-26,206000.000000,209000.000000,206000.000000,208000.000000,208000.000000,19436
2016-08-29,208000.000000,209000.000000,204000.000000,206500.000000,206500.000000,25595
2016-08-30,205500.000000,209000.000000,205500.000000,206500.000000,206500.000000,15458
2016-08-31,208000.000000,208000.000000,200500.000000,201000.000000,201000.000000,39438
2016-09-01,203000.000000,204000.000000,196000.000000,197500.000000,197500.000000,77279
2016-09-02,198500.000000,201500.000000,197000.000000,201500.000000,201500.000000,36360
2016-09-05,202500.000000,203500.000000,201000.000000,202500.000000,202500.000000,21183
2016-09-06,202500.000000,203000.000000,199500.000000,200000.000000,200000.000000,31618
2016-09-07,201000.000000,201000.000000,197500.000000,200000.000000,200000.000000,47177
2016-09-08,200000.000000,203500.000000,199000.000000,199000.000000,199000.000000,35877
2016-09-09,202000.000000,204000.000000,199500.000000,201500.000000,201500.000000,37223
2016-09-12,201500.000000,202500.000000,199000.000000,201500.000000,201500.000000,27534
2016-09-13,201500.000000,203000.000000,200000.000000,201500.000000,201500.000000,36182
2016-09-19,199500.000000,203000.000000,199000.000000,202500.000000,202500.000000,23749
2016-09-20,200500.000000,205000.000000,199000.000000,204500.000000,204500.000000,33972
2016-09-21,204500.000000,205500.000000,202000.000000,205500.000000,205500.000000,23570
2016-09-22,205500.000000,207000.000000,204000.000000,206500.000000,206500.000000,33996
2016-09-23,209000.000000,209500.000000,206500.000000,209000.000000,209000.000000,21204
2016-09-26,209000.000000,215500.000000,209000.000000,214500.000000,214500.000000,45189
2016-09-27,215000.000000,222000.000000,213000.000000,221000.000000,221000.000000,58249
2016-09-28,221000.000000,224000.000000,217500.000000,218500.000000,218500.000000,44415
2016-09-29,218500.000000,221500.000000,214500.000000,217000.000000,217000.000000,29017
2016-09-30,217000.000000,219500.000000,212500.000000,215500.000000,215500.000000,29883
2016-10-04,214000.000000,216500.000000,212500.000000,213000.000000,213000.000000,17119
2016-10-05,212500.000000,214500.000000,209500.000000,211500.000000,211500.000000,27561
2016-10-06,213000.000000,214000.000000,209500.000000,212500.000000,212500.000000,19296
2016-10-07,210500.000000,212000.000000,208500.000000,210000.000000,210000.000000,29500
2016-10-10,213000.000000,214500.000000,208500.000000,211000.000000,211000.000000,29336
2016-10-11,213500.000000,214500.000000,210000.000000,210000.000000,210000.000000,28733
2016-10-12,212500.000000,214000.000000,210000.000000,213500.000000,213500.000000,32742
2016-10-13,212000.000000,215000.000000,211000.000000,213000.000000,213000.000000,23785
2016-10-14,212500.000000,215500.000000,212000.000000,212500.000000,212500.000000,22613
2016-10-17,212500.000000,213000.000000,207000.000000,212500.000000,212500.000000,35360
2016-10-18,212500.000000,214000.000000,210500.000000,214000.000000,214000.000000,17199
2016-10-19,213000.000000,214500.000000,210000.000000,211000.000000,211000.000000,14950
2016-10-20,210000.000000,213500.000000,209500.000000,213000.000000,213000.000000,13885
2016-10-21,213000.000000,215500.000000,210000.000000,211500.000000,211500.000000,25986
2016-10-24,210500.000000,212500.000000,209500.000000,212000.000000,212000.000000,15275
2016-10-25,211500.000000,212000.000000,210000.000000,211500.000000,211500.000000,38462
2016-10-26,210500.000000,211500.000000,207500.000000,210000.000000,210000.000000,29103
2016-10-27,209500.000000,210500.000000,208500.000000,210000.000000,210000.000000,18229
2016-10-28,209000.000000,209500.000000,205000.000000,205500.000000,205500.000000,27108
2016-10-31,203500.000000,205500.000000,200500.000000,201000.000000,201000.000000,45079
2016-11-01,202000.000000,207000.000000,201500.000000,206000.000000,206000.000000,23610
2016-11-02,208500.000000,208500.000000,200000.000000,201000.000000,201000.000000,45402
2016-11-03,200000.000000,204500.000000,195500.000000,204000.000000,204000.000000,38157
2016-11-04,204000.000000,206500.000000,202000.000000,206000.000000,206000.000000,26676
2016-11-07,207500.000000,207500.000000,201000.000000,203000.000000,203000.000000,20630
2016-11-08,204000.000000,204000.000000,197000.000000,199500.000000,199500.000000,36915
2016-11-09,199500.000000,200000.000000,191000.000000,196500.000000,196500.000000,45252
2016-11-10,198500.000000,199000.000000,195000.000000,197500.000000,197500.000000,43168
2016-11-11,198000.000000,198500.000000,189000.000000,190500.000000,190500.000000,65169
2016-11-14,190000.000000,191500.000000,187500.000000,190500.000000,190500.000000,42664
2016-11-15,190500.000000,191000.000000,188000.000000,188500.000000,188500.000000,36738
2016-11-16,190000.000000,192500.000000,188500.000000,190500.000000,190500.000000,39736
2016-11-17,190000.000000,190500.000000,187000.000000,187500.000000,187500.000000,52912
2016-11-18,188000.000000,193000.000000,186500.000000,193000.000000,193000.000000,31169
2016-11-21,195000.000000,195000.000000,191500.000000,194500.000000,194500.000000,54916
